9.0,41.6,44.0,25.6
9.6,35.6,27.4,17.2
10.0,57.0,25.2,24.6
8.8,33.0,23.4,22.8
9.4,31.6,38.8,20.6
8.8,51.4,49.2,19.8
9.2,42.2,23.6,25.0
9.4,46.2,24.0,23.0
8.8,37.8,19.2,16.6
9.0,41.4,22.8,18.4
9.4,50.6,26.0,26.8
9.6,42.8,22.4,18.2
9.4,55.6,22.0,12.6
9.2,54.6,26.8,21.6
8.6,71.8,28.0,23.6
8.8,81.2,32.0,26.2
9.2,38.2,31.4,27.8
9.2,52.6,42.6,19.0
9.8,42.0,24.6,34.6
8.8,51.6,28.4,20.2
9.4,44.2,36.4,18.4
9.4,69.8,24.4,21.0
10.0,43.0,29.2,31.0
9.2,54.6,46.4,21.4
9.6,38.8,26.6,16.2
9.2,47.0,33.0,20.4
9.8,43.4,26.8,17.8
9.4,41.4,18.6,20.2
9.4,33.4,20.8,22.2
9.8,46.6,38.2,26.0
8.8,64.4,29.2,25.0
8.8,46.8,39.8,22.4
9.2,47.0,22.0,19.4
9.6,50.2,31.8,25.0
8.6,62.6,45.4,28.6
9.6,39.0,49.6,29.8
9.2,63.0,33.0,22.6
9.2,56.0,33.4,26.0
9.4,48.0,43.8,24.0
9.2,38.2,23.0,13.8
9.4,45.6,29.4,21.8
9.8,43.2,42.0,21.2
9.8,48.2,25.6,23.6
9.4,55.2,37.6,18.2
9.2,55.0,21.6,24.2
9.6,65.6,30.6,21.0
8.8,63.4,37.0,24.4
9.2,33.8,41.4,14.2
9.8,45.8,22.8,23.6
9.8,46.8,31.6,19.8
9.4,36.0,33.8,24.0
9.0,42.0,37.6,19.4
9.4,54.6,25.4,27.4
9.2,39.0,24.2,30.4
9.6,52.0,45.8,23.2
9.4,35.6,40.0,20.2
9.0,56.0,33.4,16.4
9.2,40.6,37.8,20.8
9.4,48.6,24.8,20.4
9.4,39.4,36.2,18.4
9.4,50.6,22.0,19.8
9.8,48.6,22.2,17.8
9.2,44.0,25.2,16.6
9.4,60.2,32.8,22.0
9.4,65.2,36.0,19.0
9.4,44.8,26.6,18.6
9.6,48.8,34.4,29.6
9.4,47.2,30.0,18.6
8.8,40.4,25.4,20.2
9.2,46.6,46.2,18.4
9.4,76.6,49.0,27.2
9.6,67.6,40.0,17.2
9.2,45.2,64.8,21.6
8.8,42.6,36.6,28.4
9.4,47.4,38.4,15.8
8.8,54.8,32.0,19.2
8.8,44.4,42.2,24.4
9.2,41.2,53.0,22.6
9.0,59.6,46.2,21.2
9.2,46.8,24.2,14.0
9.8,36.6,39.8,15.0
9.0,42.6,71.2,17.6
9.4,41.4,46.8,26.0
9.0,52.0,43.6,15.2
9.2,50.2,41.4,17.8
9.4,61.0,31.2,25.6
8.6,41.2,45.0,16.4
10.0,65.2,37.0,20.2
9.4,56.6,34.2,19.2
9.6,73.0,38.6,16.0
9.2,45.4,48.0,22.4
9.4,51.6,43.2,16.6
9.4,49.2,37.6,12.6
9.2,62.6,22.2,25.8
9.6,80.6,30.2,26.4
9.8,54.6,36.6,27.4
9.6,48.6,28.0,17.2
9.6,71.2,47.0,24.8
9.2,58.4,44.8,35.2
9.2,68.6,56.0,22.6
9.6,61.2,37.0,23.4
9.8,59.0,39.2,21.2
9.4,50.0,63.0,20.4
9.8,57.6,43.6,17.4
8.8,55.4,43.4,21.8
9.8,45.8,48.8,13.8
10.4,99.8,52.0,20.6
9.4,66.0,45.4,19.4
9.4,60.4,47.0,28.6
9.0,59.8,58.4,18.6
8.8,53.0,55.8,16.8
9.2,81.6,50.0,23.6
9.4,46.2,78.6,19.2
9.8,91.6,28.4,19.4
9.0,55.6,33.4,29.0
9.4,79.0,47.4,13.2
9.6,60.4,36.2,32.2
9.4,70.4,50.8,26.0
9.2,62.2,47.2,23.6
9.4,63.2,46.8,19.6
9.6,52.2,48.8,13.4
8.6,66.8,66.6,23.2
9.2,68.6,30.6,27.8
9.8,58.2,73.2,18.6
9.2,56.4,46.2,13.4
9.4,57.8,38.2,20.0
9.2,57.8,63.0,19.2
10.0,69.2,40.8,25.8
9.4,44.4,57.6,16.0
9.4,41.0,36.2,32.4
9.8,82.4,48.4,38.2
9.0,80.4,39.0,21.2
9.2,67.8,53.0,18.4
8.8,52.4,43.8,36.4
9.6,75.6,45.8,16.6
9.6,51.6,75.4,20.2
9.2,73.4,51.2,40.2
9.4,91.8,52.8,25.4
9.8,93.2,76.0,18.4
9.2,81.8,48.4,19.2
9.2,76.8,42.6,28.0
8.8,82.8,39.8,20.4
8.8,77.4,34.0,17.4
9.0,60.8,33.0,25.2
9.4,52.2,43.0,21.0
9.8,60.0,41.2,27.0
9.4,69.0,64.6,17.4
9.2,64.2,70.0,22.4
9.8,60.2,36.4,21.0
9.2,57.8,98.8,21.4
9.2,65.2,34.2,29.2
9.6,65.8,47.0,22.4
8.6,64.4,55.8,18.4
9.2,76.0,43.4,22.8
10.0,76.8,44.2,24.8
9.0,78.6,44.2,22.0
9.4,73.8,66.6,14.4
9.2,90.0,52.0,30.4
9.4,87.2,42.8,36.6
9.0,71.2,55.0,24.0
9.4,76.2,84.6,28.8
9.2,74.4,34.0,26.4
